方法,设置,扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,t15相对正式解偏差（%）,t10相对正式解偏差（%）
有限体积,"dt=0.025 s, n=24/layer",2.0,611.5637399999999,173.45166199568152,184.12514247235777,1.195027206682005,1.0375807259307688
有限体积,"dt=0.025 s, n=24/layer",5.0,244.625496,93.6502392229257,104.35754472249268,1.0582388155518132,0.8879785914129215
有限体积,"dt=0.025 s, n=24/layer",10.0,122.312748,67.10520476468835,77.82151322880102,0.9383692372595074,0.7962498860200102
模态法,"dt=0.125 s, M=40",5.0,244.625496,92.65781548241021,103.42310684318534,-0.01268845817890856,-0.01539211372637712
模态法,"dt=0.25 s, M=60",5.0,244.625496,92.93306427042525,103.72613518650469,0.2843332898029703,0.2775614728560893
有限体积,"dt=0.0125 s, n=24/layer",5.0,244.625496,93.64722016901963,104.3533714463762,1.0549809459172184,0.8839440638412484
有限体积,"dt=0.025 s, n=36/layer",5.0,244.625496,93.65010973461479,104.35767377415735,1.0580990843481646,0.8881033525082235
有限体积,"完整max(h_nat,h_for)",5.0,244.625496,93.6502392229257,104.35754472249268,1.0582388155518132,0.8879785914129215
