外对流模型,h_e（W/(m2 K)）,扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,t15较旧值变化（s）,t10较旧值变化（s）,t15较旧值变化（%）,t10较旧值变化（%）,自然支路最大值（W/(m2 K)）,最大热流残差（W/m2）
ISO 11079简化,18.46,2.0,611.5637399999999,192.02800925434013,204.2621942219772,20.62466386917447,22.027879871353605,12.032824576923023,12.087668532596659,7.049232342861764,1.3642420526593924e-12
ISO 11079简化,18.46,5.0,244.625496,103.4915847342144,115.66576634720914,10.82201091168514,12.226738051151017,11.678062675037532,11.82023676417014,7.049232342861764,1.3642420526593924e-12
ISO 11079简化,18.46,10.0,122.312748,74.03513620319117,86.16747506666174,7.553772107685532,8.96072053283605,11.362239945669513,11.606135482498741,7.049232342861764,1.3642420526593924e-12
旧PMV关系,20.957814771583415,2.0,611.5637399999999,171.40334538516566,182.2343143506236,0.0,0.0,0.0,0.0,7.049105333182035,1.2505552149377763e-12
旧PMV关系,20.957814771583415,5.0,244.625496,92.66957382252926,103.43902829605813,0.0,0.0,0.0,0.0,7.049105333182035,1.2505552149377763e-12
旧PMV关系,20.957814771583415,10.0,122.312748,66.48136409550564,77.20675453382569,0.0,0.0,0.0,0.0,7.049105333182035,1.2505552149377763e-12
Kuwabara经验,21.95,2.0,611.5637399999999,164.57453631937474,174.94580969640822,-6.828809065790921,-7.288504654215387,-3.9840582168601766,-3.9995237341481764,7.049054880397741,9.094947017729282e-13
Kuwabara经验,21.95,5.0,244.625496,89.08417426307342,99.39347596584511,-3.585399559455837,-4.045552330213013,-3.86901483578872,-3.9110502069238615,7.049054880397741,9.094947017729282e-13
Kuwabara经验,21.95,10.0,122.312748,63.97743273414523,74.24189055798404,-2.503931361360408,-2.964863975841652,-3.766365801043607,-3.8401613871007765,7.049054880397741,9.094947017729282e-13
