扫描速率（K/min）,潜热（kJ/kg）,M40-t15（s）,M40-t10（s）,M60-t15（s）,M60-t10（s）,t15差值（s）,t10差值（s）,t15相对偏差（%）,t10相对偏差（%）,最大条件数,最大热流残差（W/m2）,最终固化进度
2.0,611.5637399999999,171.40334538516566,182.2343143506236,171.93128155197212,182.78580328116462,0.5279361668064553,0.5514889305410122,0.3080080879519089,0.30262628227082033,1.0647338824577641,1.4779288903810084e-12,1.0
5.0,244.625496,92.66957382252926,103.43902829605813,92.93306427042498,103.72613518650437,0.2634904478957196,0.28710689044623905,0.28433328980267897,0.2775614728557733,1.0647338824577641,1.4779288903810084e-12,1.0
10.0,122.312748,66.48136409550564,77.20675453382569,66.65705818772007,77.40621199299588,0.1756940922144281,0.19945745917019053,0.2642757028300892,0.25834198105400813,1.0647338824577641,1.4779288903810084e-12,1.0
