扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,时间步（s）,每层网格数,最大Newton迭代,最大方程残差,累计潜热（J/m2）,潜热上界（J/m2）
2.0,611.5637399999999,173.45166199568152,184.12514247235777,0.025,24,8,1.604373300878592e-10,135106.6614408,135106.6614408
5.0,244.625496,93.6502392229257,104.35754472249268,0.025,24,8,1.858561082812571e-10,54042.66457632001,54042.66457632
10.0,122.312748,67.10520476468835,77.82151322880102,0.025,24,7,9.823575286560526e-11,27021.332288160003,27021.33228816
