温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
17.077,1.0,55.36530180481282,23.58612072192513,12.993060360962566,,
17.112,1.0,55.85130360962565,23.78052144385026,13.090260721925132,,
17.145,1.0,56.319588168449194,23.96783526737968,13.183917633689841,,
17.179,1.0,56.770781350267384,24.148312540106954,13.274156270053478,,
17.213,1.0,57.205174532085564,24.322069812834226,13.361034906417114,,
17.249,1.0,57.623984959893036,24.489593983957217,13.44479699197861,,
17.282,1.0,58.02746951871657,24.65098780748663,13.525493903743316,,
17.315,1.0,58.4165540775401,24.806621631016043,13.603310815508022,,
17.349,1.0,58.79214725935827,24.95685890374331,13.678429451871656,,
17.382,1.0,59.15483181818182,25.10193272727273,13.750966363636365,,
17.416,1.0,59.506125000000004,25.24245,13.821225000000002,,
17.451,1.0,59.84632680481282,25.37853072192513,13.889265360962566,,
17.486,1.0,60.17662860962566,25.510651443850264,13.955325721925133,,
17.52,1.0,60.49852179144385,25.63940871657754,14.019704358288772,,
17.554,1.0,60.81261497326202,25.765045989304813,14.082522994652408,,
