扫描速率（K/min）,原始时间（s）,Q3目标（s）,Q4实际时间（s）,负重上限（s）,恢复时间（s）,负重余量（s）
2.0,520.9025878318307,701.1953736093442,701.2040361726689,784.91566616,180.3014483408382,83.7116299873311
5.0,273.9084019945055,416.0379012473915,416.0427639395677,784.91566616,142.1343619450622,368.8729022204323
10.0,191.6423419379491,321.0596108035716,321.0610694246043,784.91566616,129.41872748665517,463.8545967353957
