扫描速率（K/min）,原始潜热（kJ/kg）,强化潜热（kJ/kg）,新增潜热（kJ/kg）,提升比例（%）
2.0,611.5637399999999,879.3468375805663,267.7830975805664,43.78662109375
5.0,244.625496,455.80609996875,211.18060396875,86.328125
10.0,122.312748,314.69553095654294,192.38278295654297,157.28759765625
