衣料初温（℃）,t15（s）,t10（s）,相对37℃的t15变化（%）,相对37℃的t10变化（%）
27.0,236.6444510634047,273.89413458207315,-13.60453007638966,-11.975891465755979
30.0,248.80728082111224,286.0569724378365,-9.164056666613957,-8.066998122224696
33.0,260.0746747706554,297.3243665639147,-5.0504939326861455,-4.445882522340204
37.0,273.9084019945055,311.15808969030354,0.0,0.0
