扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,最大条件数,最大热流残差（W/m2）,最终固化进度
2.0,611.5637399999999,520.9025878318307,558.2067266858874,1.066353958725648,9.663381206337363e-13,1.0
5.0,244.625496,273.9084019945055,311.15808969030354,1.066353958725648,9.663381206337363e-13,1.0
10.0,122.312748,191.6423419379491,228.86375804984027,1.066353958725648,9.663381206337363e-13,1.0
