扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,时间步（s）,每层网格数,最大Newton迭代,最大方程残差,累计潜热（J/m2）,潜热上界（J/m2）
2.0,611.5637399999999,526.0528355196271,563.4884413040081,0.05,24,7,1.0419616169876633e-08,135106.6614408,135106.6614408
5.0,244.625496,276.42296488946647,313.867756105331,0.05,24,7,5.978402883854983e-09,54042.66457632001,54042.66457632
10.0,122.312748,193.27735973168527,230.72107835288227,0.05,24,7,3.705133200249122e-09,27021.332288160003,27021.33228816
