方法,设置,扫描速率（K/min）,潜热（kJ/kg）,t15（s）,t10（s）,t15相对正式解偏差（%）,t10相对正式解偏差（%）
有限体积,"dt=0.05 s, n=24/layer",2.0,611.5637399999999,526.0528355196271,563.4884413040081,0.9887160878262212,0.9461932946381121
有限体积,"dt=0.05 s, n=24/layer",5.0,244.625496,276.42296488946647,313.867756105331,0.9180305812639621,0.8708327068482804
有限体积,"dt=0.05 s, n=24/layer",10.0,122.312748,193.27735973168527,230.72107835288227,0.8531610380056551,0.8115397207790008
模态法,"dt=0.125 s, M=40",5.0,244.625496,273.91369963977854,311.1612662753184,0.0019340937461154238,0.0010208910261672488
模态法,"dt=0.25 s, M=60",5.0,244.625496,274.70592360412854,312.0388796948214,0.2911636166746937,0.283068328833906
有限体积,"dt=0.025 s, n=24/layer",5.0,244.625496,276.4145083098895,313.8561413068815,0.9149432062453917,0.8670999424322692
有限体积,"dt=0.05 s, n=36/layer",5.0,244.625496,276.4233977286219,313.86839073519246,0.9181886045857365,0.8710366642199442
