time_s,time_h,layer,x_m,temperature_C
7200.0,2.0,3,0.0012950000000000001,21.25083095968573
7200.0,2.0,3,0.00131,21.136644059588495
7200.0,2.0,3,0.001325,21.022457142709182
7200.0,2.0,3,0.00134,20.90827020909834
7200.0,2.0,3,0.001355,20.794083258803514
7200.0,2.0,3,0.0013700000000000001,20.679896291838325
7200.0,2.0,3,0.001385,20.565709308218068
7200.0,2.0,3,0.0014,20.451522307990746
14400.0,4.0,1,0.0,24.422026146295615
14400.0,4.0,1,3.5e-05,24.408195687268652
14400.0,4.0,1,7e-05,24.39436504626553
14400.0,4.0,1,0.00010499999999999999,24.380534228847377
14400.0,4.0,1,0.00014,24.366703240722305
14400.0,4.0,1,0.00017499999999999997,24.352872087610017
14400.0,4.0,1,0.00020999999999999998,24.339040775078473
14400.0,4.0,1,0.000245,24.325209308677785
14400.0,4.0,1,0.00028,24.311377694116892
14400.0,4.0,1,0.00031499999999999996,24.29754593712972
14400.0,4.0,1,0.00034999999999999994,24.283714043277854
14400.0,4.0,1,0.000385,24.269882018086925
14400.0,4.0,1,0.00041999999999999996,24.256049867276086
14400.0,4.0,1,0.00045499999999999995,24.242217596619295
14400.0,4.0,1,0.00049,24.22838521166497
14400.0,4.0,1,0.000525,24.214552717870806
14400.0,4.0,1,0.00056,24.200720120966697
14400.0,4.0,1,0.0005949999999999999,24.186887426853755
14400.0,4.0,1,0.0006299999999999999,24.173054641115392
14400.0,4.0,1,0.0006649999999999999,24.159221768975573
14400.0,4.0,1,0.0007,24.145388816181825
14400.0,4.0,2,0.0007,24.145388816181825
14400.0,4.0,2,0.00072,24.134138125233868
14400.0,4.0,2,0.00074,24.116553588912552
14400.0,4.0,2,0.00076,24.09262494927321
14400.0,4.0,2,0.00078,24.06238705915723
14400.0,4.0,2,0.0008,24.025845986709573
14400.0,4.0,2,0.00082,23.982979098569686
14400.0,4.0,2,0.00084,23.933776392942388
14400.0,4.0,2,0.00086,23.878253863756424
14400.0,4.0,2,0.00088,23.816422131070016
14400.0,4.0,2,0.0009,23.748268344884448
14400.0,4.0,2,0.00092,23.673781184332917
14400.0,4.0,2,0.0009400000000000001,23.592971972097274
14400.0,4.0,2,0.00096,23.505853560032357
14400.0,4.0,2,0.00098,23.412415329955728
14400.0,4.0,2,0.001,23.31264128977958
14400.0,4.0,2,0.00102,23.206541443098764
14400.0,4.0,2,0.0010400000000000001,23.09413842509012
14400.0,4.0,2,0.00106,22.97542616948649
14400.0,4.0,2,0.00108,22.850369825353077
14400.0,4.0,2,0.0011,22.71897965242056
14400.0,4.0,3,0.0011,22.71897965242056
14400.0,4.0,3,0.001115,22.604829628216613
14400.0,4.0,3,0.0011300000000000001,22.490679589484657
14400.0,4.0,3,0.001145,22.376529536229537
14400.0,4.0,3,0.00116,22.262379468557675
14400.0,4.0,3,0.001175,22.14822938650622
14400.0,4.0,3,0.00119,22.034079290050716
14400.0,4.0,3,0.0012050000000000001,21.91992917919942
14400.0,4.0,3,0.0012200000000000002,21.805779054013367
14400.0,4.0,3,0.001235,21.69162891453649
14400.0,4.0,3,0.00125,21.57747876076908
14400.0,4.0,3,0.001265,21.463328592721446
14400.0,4.0,3,0.00128,21.34917841044133
