time_s,time_h,body_temperature_C,inner_surface_C,interface_12_C,interface_23_C,outer_surface_C,layer2_average_C,h_external_W_per_m2K,pcm_specific_power_W_per_kg,body_to_clothing_power_W,pcm_power_W,environment_loss_W
0.0,0.0,37.0,37.0,37.0,37.0,36.97912781995703,37.0,7.049692981426962,0.0,0.0,0.0,896.5603345853165
3600.0,1.0,35.98758541163953,24.549782508393232,24.19651764465512,22.74461754203016,20.46045905014619,23.677206862051772,6.636587383943494,1683.6793611693888,56.68918252935962,614.5125461081292,662.9069749548887
7200.0,2.0,35.04624474443619,24.503577032024214,24.177959274101404,22.735259121311856,20.451522307990746,23.664719403562213,6.636342129611417,1695.6624727683095,52.252623983027455,618.8861653308749,662.784495748257
10800.0,3.0,34.17858158386998,24.46112847704341,24.16099808353608,22.726775413968433,20.443420908011554,23.65335360464891,6.6361197763849304,1706.714391251839,48.16261283336451,622.9199158913001,662.6734689257869
14400.0,4.0,33.37883473496099,24.422026146295615,24.145388816181825,22.71897965242056,20.435976442999106,23.642901694834517,6.635915433866583,1716.9024085146225,44.3926304080022,626.6383581151201,662.5714484447384
18000.0,5.0,32.64168976058587,24.3860029311929,24.131020255774658,22.711812666091824,20.42913241094897,23.633286746091247,6.635727555927837,1726.293859838149,40.91766063252038,630.0660681634648,662.4776591923933
21600.0,6.0,31.962247057850252,24.352785504190123,24.11776189684841,22.705192373712364,20.422810454098567,23.624409904925177,6.635553995479821,1734.94930150338,37.71477429840569,633.225147984754,662.3910267140287
25200.0,7.0,31.33598676795272,24.322134369975053,24.105506579094175,22.699056111025392,20.416950689001787,23.61619323653481,6.635393111694588,1742.9256845281889,34.7627566400967,636.1363836715208,662.3107298705062
28800.0,8.0,30.758746458265872,24.293921845452996,24.09425123440806,22.693440205507763,20.411587806037442,23.60866035041115,6.63524585988513,1750.279868106478,32.04161022848446,638.8205278022075,662.2372435500561
32400.0,9.0,30.226694550228814,24.268004935137117,24.083966759361857,22.68835223886499,20.40672905654757,23.601806746665854,6.635112441897825,1757.062830928645,29.533053339278972,641.2961866777262,662.1706666598205
36000.0,10.0,29.736301842419902,24.244229967860694,24.074603730913655,22.683776950740608,20.402359871137744,23.595605718191376,6.634992460137216,1763.3204693670887,27.220355831877804,643.5801116447468,662.1107991520354
39600.0,11.0,29.284317074911016,24.22245728886871,24.066118557951363,22.679702183586425,20.398468654448514,23.59003458715768,6.634885598347416,1769.0950824946467,25.088095657561475,645.6877411005954,662.0574817847621
43200.0,12.0,28.867741834650207,24.202477101619035,24.058387515892758,22.67603455641206,20.394966254783853,23.584989086368466,6.634789409954921,1774.4215375856418,23.1224515963224,647.6318009704181,662.0094927143066
46800.0,13.0,28.48380682956089,24.184096428533405,24.05129722924415,22.672688721461395,20.391771161656173,23.580373832622453,6.634701657647354,1779.3322693149344,21.310654660612528,649.424129324509,661.9657148938172
50400.0,14.0,28.129955863637633,24.16715619543702,24.04476267866147,22.669605208752003,20.38882657985618,23.576120370005718,6.634620782477638,1783.8581569900214,19.6408239955027,651.0759965521772,661.9253699867483
54000.0,15.0,27.803830658428925,24.15152109250883,24.038717223366866,22.666740755552723,20.386091193019652,23.572177312265328,6.634545650356112,1788.0282556984148,18.101941901569766,652.5980072353974,661.8878917851824
57600.0,16.0,27.503256280403704,24.137073579012604,24.033106873695168,22.664062810486726,20.383533914565895,23.56850472163483,6.634475407980123,1791.869721236593,16.68381132290471,654.000072749233,661.8528542738363
61200.0,17.0,27.22622737191111,24.123710054617327,24.02788677099297,22.661546201190664,20.38113070508479,23.565070684828108,6.6344093954799686,1795.4078294003134,15.377006579703185,655.2914183024527,661.8199280140105
64800.0,18.0,26.970895497476942,24.111347772103738,24.023028727616918,22.659180676135335,20.37887176638655,23.561858924789885,6.634347344081603,1798.6665720226995,14.172776391267211,656.480800480662,661.7889787000892
68400.0,19.0,26.735558275743976,24.09992335283943,24.018519979457025,22.65696976906865,20.376760475098514,23.558867610444626,6.6342893468757325,1801.6686236164578,13.062997368391805,657.5764950713155,661.7600525385624
72000.0,20.0,26.518647861292504,24.08937228100478,24.014342438422844,22.65491050540085,20.3747939917161,23.556088736911423,6.634235326177208,1804.4345630659343,12.040218558580039,658.5860129953804,661.7331105736808
75600.0,21.0,26.31872000444653,24.079633106142435,24.010477360069377,22.652998096774304,20.372967744427328,23.553512852653586,6.634185156682167,1806.9832461701078,11.097586394064583,659.5162362787975,661.7080901212336
79200.0,22.0,26.134444155520377,24.070647520897353,24.00690572896522,22.651226413613188,20.371275880493435,23.551129507325133,6.634138677864862,1809.3319592718337,10.228795260182094,660.3734741243791,661.6849109532087
82800.0,23.0,25.964594387378817,24.062360419694436,24.003608599481538,22.6495884061597,20.369711668323905,23.54892764998822,6.634095705022515,1811.496560181534,9.428042214034098,661.1635143464105,661.6634808065278
86400.0,24.0,25.80804106710292,24.054719925641535,24.000567380680014,22.648076463436475,20.368267840279923,23.5468959667451,6.634056038693705,1813.4916060756875,8.68998557342506,661.8916700512873,661.643700079429
90000.0,25.0,25.66374321228009,24.047677378716145,23.997764060143762,22.64668270567404,20.36693687194308,23.54502315305504,6.634019472332554,1815.3304690198672,8.009707090892976,662.5628218013372,661.6254656571981
93600.0,26.0,25.530741472478706,24.041187285421085,23.995181368783513,22.645399212765483,20.365711200293724,23.543298123146545,6.633985798305346,1817.0254400427746,7.382677417313687,663.181455599962,661.6086739008238
97200.0,27.0,25.4081516815628,24.03520723439306,23.992802892922764,22.64421819546363,20.36458338721047,23.541710163164346,6.6339548123853245,1818.587822821925,6.804724563507381,663.7516970852198,661.5932228864775
100800.0,28.0,25.295158931431775,24.029697784525524,23.99061314195317,22.643132117944358,20.363546236525117,23.54024903664178,6.633926316971601,1820.028018067189,6.272005082411451,664.2773423282935,661.5790140086812
104400.0,29.0,25.191012122399748,24.02462233270859,23.98859758026528,22.642133780722848,20.36259287321474,23.53890505127231,6.633900123267756,1821.3555996425719,5.780977714646292,664.7618856165643,661.565953064763
108000.0,30.0,25.095018949677787,24.01994696789369,23.9867426316206,22.641216372338757,20.361716792767744,23.537669095388303,6.633876052640813,1822.5793833804646,5.328379263316511,665.2085445695706,661.5539509307259
111600.0,31.0,25.006541289268103,24.015640317311025,23.985035663105016,22.640373497180928,20.36091188776256,23.53653265150698,6.633853937353909,1823.7074894387083,4.911202487310867,665.6202828982093,661.5429239249715
115200.0,32.0,24.92499095002868,24.011673389609342,23.983464954605978,22.639599185611175,20.360172457541378,23.535487793085924,6.633833620834225,1824.7473989447492,4.526675824706359,665.9998310788293,661.5327939404707
118800.0,33.0,24.849825761743087,24.008019418634703,23.982019658575222,22.63888789135649,20.359493205724497,23.534527169432884,6.633814957606587,1825.7060055712498,4.172244778348086,666.3497051773974,661.5234884103952
122400.0,34.0,24.78054597177318,24.00465371061577,23.980689753776186,22.638234480067563,20.35886922928797,23.533643982636757,6.633797812995008,1826.5896625979408,3.8455548139744673,666.6722240262245,661.5149401582136
126000.0,35.0,24.71669092531764,24.00155349671973,23.979465995811275,22.63763421202928,20.35829600205574,23.53283195946867,6.6337820626705275,1827.4042259372836,3.5444356373598187,666.9695249275542,661.5070871713014
129600.0,36.0,24.657836006482782,23.998697792291278,23.978339866485438,22.637082721261553,20.357769354744182,23.532085320451266,6.633767592104128,1828.1550935354956,3.2668867309973515,667.2435780342258,661.4998723273582
133200.0,37.0,24.603589819331212,23.996067263577906,23.977303523476913,22.63657599265417,20.357285453128572,23.53139874769724,6.6337542959678535,1828.8472415051697,3.01106404308011,667.4961995374273,661.493243095124
136800.0,38.0,24.553591589641968,23.993644084352653,23.976349732680436,22.63611031994938,20.356840757953403,23.53076733401517,6.633742077034144,1829.4852561633875,2.775267820465434,667.729063360028,661.4871509850232
140400.0,39.0,24.507508761869847,23.991411661999145,23.975471660173163,22.635682123831508,20.35643185118027,23.530186390745886,6.633730841402342,1830.0733570162731,2.557932056089161,667.943709545525,661.481549168727
144000.0,40.0,24.46503478922711,23.98935484289468,23.974663152417826,22.635288248509386,20.356055719126,23.529651741599253,6.633720506279127,1830.6154412808764,2.3576125180074254,668.1415605077268,661.4763963579057
147600.0,41.0,24.425887111600844,23.98745973693191,23.97391861740692,22.63492586382049,20.355709659118876,23.529159616888062,6.633710997414299,1831.1151048164597,2.172977597071633,668.3239286702939,661.4716555253652
151200.0,42.0,24.389805281845828,23.985713567723014,23.973232928266967,22.63459238814717,20.355391205836373,23.52870656938582,6.633702247077197,1831.575663410175,2.0027997627069007,668.4920242356272,661.4672928958344
154800.0,43.0,24.356549237206274,23.98410458026223,23.972601381459473,22.6342854636372,20.355098107641762,23.528289443692316,6.633694193406869,1832.0001744060405,1.8459474532117643,668.6469630790535,661.4632776217267
158400.0,44.0,24.32589770547446,23.982621956877573,23.97201965936516,22.634002934462703,20.35482830582224,23.527905349109826,6.633686779841902,1832.3914567027239,1.7013775927707548,668.7897740476544,661.4595814986624
162000.0,45.0,24.29764673546266,23.981255740593767,23.971483796668526,22.633742827642365,20.354579916274975,23.527551635514982,6.633679954617453,1832.7521092343782,1.5681286878686953,668.9214057054382,661.456178714534
165600.0,46.0,24.271608342155794,23.979996765148975,23.97099015005943,22.633503336042704,20.354351213274033,23.52722587180576,6.633673670319431,1833.084528042973,1.445314459118896,669.0427325644324,661.4530456270861
169200.0,47.0,24.24760925764391,23.978836591006733,23.970535370847767,22.633282803245077,20.354140615019038,23.52692582657759,6.633667883487583,1833.3909220443068,1.3321179676538348,669.1545608389924,661.4501605659098
172800.0,48.0,24.225489779614936,23.977767446786373,23.970116380150664,22.63307971002117,20.353946670719875,23.52664945074136,6.633662554260765,1833.6733275836143,1.2277861981982041,669.2576337583364,661.4475036554852
176400.0,49.0,24.205102709818497,23.97678217560373,23.96973034636257,22.63289266220377,20.35376804901382,23.526394861843027,6.633657646058803,1833.9336218706896,1.1316250637286482,669.3526364701216,661.4450566564824
180000.0,50.0,24.186312375495206,23.975874185871582,23.969374664660396,22.632720379775215,20.353603527545527,23.526160329882295,6.633653125296276,1834.1735353782703,1.0429947992315645,669.4402005656314,661.4428028229945
183600.0,51.0,24.168993727307512,23.975037406158865,23.96904693832981,22.632561687024268,20.353451983567282,23.525944264458428,6.633648961124327,1834.3946632817813,0.9613057145090403,669.5209082550739,661.440726773753
187200.0,52.0,24.153031507806055,23.97426624374955,23.968744961726934,22.632415503645003,20.353312385438866,23.525745203096058,6.633645125197166,1834.5984760130955,0.8860142782432554,669.5952962195151,661.4388143756674
190800.0,53.0,24.13831948492981,23.97355554657915,23.968466704713265,22.632280836670247,20.353183784924372,23.52556180062432,6.633641591460474,1834.7863289958118,0.8166195076473763,669.6638591640789,661.4370526382868
194400.0,54.0,24.124759745462786,23.972900568258392,23.96821029842134,22.63215677314735,20.35306531019791,23.525392819499828,6.633638335959264,1834.9594716244058,0.7526596399781347,669.7270530951747,661.4354296179725
198000.0,55.0,24.112262043766556,23.97229693592186,23.96797402222529,22.632042473476762,20.35295615948228,23.525237120977728,6.633635336663127,1835.1190555454218,0.6937090640106621,669.7852983429833,661.4339343307449
201600.0,56.0,24.100743201469687,23.971740620663724,23.967756291804594,22.631937165344354,20.3528555952546,23.5250936570472,6.633632573307056,1835.2661422942913,0.6393754912485952,669.8389823487572,661.4325566728978
