"扫描速率（K/min）","问题一 t₁₅（s）","问题二 t₁₅（s）","问题一 t₁₀（s）","问题二 t₁₀（s）","t₁₅缩短幅度（%）","t₁₀缩短幅度（%）"
2,520.9025878318307,192.02800925434013,558.2067266858874,204.2621942219772,63.13552404229275,63.40742874334456
5,273.9084019945055,103.4915847342144,311.15808969030354,115.66576634720914,62.21671771270076,62.82733112858111
10,191.6423419379491,74.03513620319117,228.86375804984027,86.16747506666174,61.368069574539724,62.34988195557953
