"扫描速率（K/min）","t₁₅（s）","t₁₀（s）","t₁₀−t₁₅（s）"
2,192.02800925434013,204.2621942219772,12.234184967637077
5,103.4915847342144,115.66576634720914,12.174181612994744
10,74.03513620319117,86.16747506666174,12.132338863470565
