"扫描速率（K/min）","PMV t₁₅相对变化（%）","PMV t₁₀相对变化（%）","Kuwabara t₁₅相对变化（%）","Kuwabara t₁₀相对变化（%）"
2,-10.74044559919236,-10.784119868709197,-14.296598210630517,-14.352330169189354
5,-10.456899408273701,-10.5707491829937,-13.921335254592805,-14.068372082122693
10,-10.20295564386351,-10.399191256217922,-13.585040812840997,-13.840006916126658
