"扫描速率（K/min）","t₁₅相对偏差（%）","t₁₀相对偏差（%）","加密方式","t₁₅加密变化幅度（%）","t₁₀加密变化幅度（%）"
2,1.1500950365796805,1.0133650540876122,"时间步减半",0.002957558406679541,0.003636912419446508
5,1.026533460900824,0.8795295405890852,"网格加密",0.00007669271180482445,0.00014918898230123254
10,0.9172332350709878,0.7945710733338219,,,
