距人体侧位置（mm）,0 s,40 s,80 s,110 s
0.0,37.0,23.914529525302207,20.116054637640094,12.255694349147792
0.02333333333333333,37.0,23.896140488312838,20.09242016543128,12.220091135497658
0.04666666666666666,37.0,23.876891939335447,20.06786190071195,12.181197448920747
0.06999999999999999,37.0,23.856782986705593,20.04237841526984,12.139009133554708
0.09333333333333332,37.0,23.835814625041756,20.015970267188525,12.093529166880115
0.11666666666666667,37.0,23.813984706554137,19.98863378814074,12.044747203588152
0.13999999999999999,37.0,23.791292907634887,19.960367220081057,11.992659782800708
0.16333333333333333,37.0,23.76774088648283,19.931170910739592,11.93727097246157
0.18666666666666665,37.0,23.7433270302888,19.90104082478718,11.878571003991022
0.21,37.0,23.718051573092286,19.869974868162345,11.816557097414282
0.23333333333333334,37.0,23.691916883350046,19.83797324482547,11.751234636887965
0.25666666666666665,37.0,23.664921825224184,19.805031491844034,11.682594237938662
0.27999999999999997,37.0,23.637067169742625,19.77114716678909,11.610633768271994
0.3033333333333333,37.0,23.60835605674393,19.736320420660004,11.535360235183097
0.32666666666666666,37.0,23.578787749252843,19.700546283952566,11.456764386330219
0.35,37.0,23.548363519474652,19.663821941702164,11.37484466493405
0.3733333333333333,37.0,23.51708737120039,19.626147629471404,11.289610159682272
0.39666666666666667,37.0,23.484958852471312,19.587517757603013,11.20105137767334
0.42,37.0,23.451979671075616,19.547929089770072,11.109167170991839
0.44333333333333336,37.0,23.41815485328781,19.507382180960537,11.013969465880729
0.4666666666666667,37.0,23.383484048713974,19.465870642579837,10.915447906475064
0.49,37.0,23.347969262562025,19.423390705498527,10.813601330216065
0.5133333333333333,37.0,23.311616858428927,19.3799437066415,10.708445937192492
0.5366666666666666,37.0,23.274426260892117,19.335522145884944,10.599969354739057
0.5599999999999999,37.0,23.236399415999475,19.290121392207013,10.488169151585724
0.5833333333333333,37.0,23.197544811153485,19.24374467116291,10.373069221771384
0.6066666666666666,37.0,23.157861040832113,19.196382784598455,10.254652960685839
0.63,37.0,23.11734861514806,19.148028727522025,10.132911340781483
0.6533333333333333,37.0,23.076020921888883,19.098691262153043,10.007887546331546
0.6766666666666666,37.0,23.03387655178119,19.048360759074217,9.879564429745193
0.7,37.0,22.99090854657112,18.997020658555748,9.747902178120986
0.7133333333333333,37.0,22.96066730109768,18.961700195019944,9.661350030997713
0.7266666666666667,37.0,22.923838371325953,18.920906020632437,9.57316171635405
0.74,37.00000000000001,22.880527256018723,18.874694931578848,9.483359450254598
0.7533333333333333,37.0,22.830798820301002,18.823089214281524,9.39195496956699
0.7666666666666667,37.0,22.77459718462664,18.766011544896447,9.298929884608388
0.78,37.0,22.711968115092812,18.703470557178758,9.204291185822205
0.7933333333333333,37.0,22.64297746735184,18.63549122577207,9.108050481049466
0.8066666666666666,37.0,22.567607387426023,18.56202980889634,9.010198445891437
0.82,37.0,22.485890600737292,18.483086988682864,8.91073863147511
0.8333333333333333,37.0,22.39788528207441,18.398684846136646,8.80968069922826
0.8466666666666667,37.0,22.303586782668198,18.30879412577306,8.707018605905095
0.86,37.0,22.203023628479656,18.213416122913422,8.602755019095946
0.8733333333333334,37.0,22.09624956573198,18.112573879214732,8.496898813611974
0.8866666666666667,37.0,21.98326471342592,18.00624667275165,8.389445453741235
0.9,37.0,21.864094502649593,17.894438267747176,8.28039729039115
0.9133333333333332,37.0,21.738790083553837,17.777175099088712,8.169763146685138
0.9266666666666666,37.0,21.607351995752904,17.654442134477904,8.057539150861388
0.94,37.0,21.469802244613383,17.52624600834124,7.943727465180355
0.9533333333333334,37.0,21.326191057153356,17.39261861912122,7.828337483054954
0.9666666666666667,37.0,21.176516305477357,17.253548514076602,7.711365373382717
0.98,37.0,21.02079563761638,17.10904479438901,7.592812996400754
0.9933333333333333,37.0,20.85908109933582,16.95914758084401,7.472691136674378
1.0066666666666666,37.0,20.69136482963442,16.80384657445417,7.350995284917042
1.02,37.0,20.517657911931963,16.64315152806791,7.227726461474124
1.0333333333333334,37.0,20.338020614047565,16.47711655439923,7.102898544223656
1.0466666666666666,37.0,20.15243511135528,16.305728732305425,6.976505226288474
1.06,37.0,19.960896833382037,16.12899015517813,6.848544246376024
1.0733333333333333,37.0,19.76349554120175,15.946987443311778,6.7190381047743495
1.0866666666666667,37.0,19.560210506509318,15.7597104423564,6.5879804250623355
1.1,37.0,19.350979686067827,15.567114587045378,6.4553543999454535
1.11,37.000444489246455,19.170508997639608,15.400997280705154,6.3412351732487595
1.12,36.99955471274416,18.989752906204117,15.234499491951794,6.225879314282081
1.1300000000000001,36.999997905824635,18.808715654630692,15.067627525700518,6.109305357071084
1.14,37.00045484704347,18.627399538864818,14.900385082039978,5.991523397768977
1.15,36.99954265672872,18.445801676781556,14.732768938990302,5.872521092156781
1.16,36.999995541390284,18.263923653474073,14.564781830373379,5.752305452577397
1.17,37.000477709973026,18.081767694199872,14.396427332958167,5.630886263118236
1.1800000000000002,36.99951775574713,17.89933254166399,14.227704358886118,5.508258213564647
1.1900000000000002,36.999992545664455,17.71661918293992,14.058614801310993,5.384425716309744
1.2000000000000002,37.0005163351311,17.53362944497073,13.889161656954784,5.259396819608401
1.2100000000000002,36.99947639383536,17.3503626923111,13.71934461456013,5.13316889699954
1.2200000000000002,36.99998831401314,17.16681976421743,13.54916531083449,5.005745708122128
1.23,37.00057714717144,16.983002275025672,13.378626394733837,4.877134366577036
1.24,36.99941148894035,16.79890991584748,13.207727922882457,4.747333646616964
1.25,36.999981644145876,16.614543485255727,13.036471405570634,4.61634711616413
1.26,37.00067284511021,16.429904484930766,12.864859265786349,4.484181384269182
1.27,36.999308929827926,16.244992811516337,12.692891756086649,4.350836098606106
1.28,36.99996972068417,16.05980926201292,12.520570303543579,4.21631480222772
1.29,37.00083080500062,15.874355282022709,12.347897172947336,4.080623842370232
1.3,36.999137732032736,15.688630912284992,12.174872724138316,3.9437634716558003
1.31,36.999944444977416,15.502636965848748,12.00149831898406,3.8057372825836686
1.32,37.0011207339437,15.316374867334458,11.82777610642574,3.6665515108157773
1.33,36.99881647071386,15.129844765155804,11.653706501332689,3.526206854435509
1.34,36.999873689236175,14.943047497108376,11.479290809166345,3.384706991610858
1.35,37.00178275085561,14.755984490583126,11.30453109262249,3.242058148070284
1.36,36.99804851315643,14.56865597715167,11.129427787352435,3.0982613600069295
1.37,36.99951442649041,14.381062823652584,10.953982147157777,2.9533204089379606
1.3800000000000001,37.00446217660462,14.19320647790652,10.778196171514097,2.807241586414327
1.3900000000000001,36.99475867185073,14.005087236168103,10.602070291987271,2.6600261860731105
1.4,36.95901001922139,13.816705996156402,10.425605713273201,2.511678100297769
