设置,外对流模型,扫描速率（K/min）,阈值,相对差异（%）,绘图幅值（%）
基准,ISO 11079简化,2.0,t15,1.1500950365796792,1.1500950365796792
基准,ISO 11079简化,2.0,t10,1.0133650540876227,1.0133650540876227
基准,ISO 11079简化,5.0,t15,1.0265334609008248,1.0265334609008248
基准,ISO 11079简化,5.0,t10,0.8795295405890746,0.8795295405890746
基准,ISO 11079简化,10.0,t15,0.91723323507098,0.91723323507098
基准,ISO 11079简化,10.0,t10,0.7945710733338274,0.7945710733338274
基准,旧PMV关系,2.0,t15,1.195027206682009,1.195027206682009
基准,旧PMV关系,2.0,t10,1.0375807259307646,1.0375807259307646
基准,旧PMV关系,5.0,t15,1.058238815551804,1.058238815551804
基准,旧PMV关系,5.0,t10,0.887978591412919,0.887978591412919
基准,旧PMV关系,10.0,t15,0.9383692372595176,0.9383692372595176
基准,旧PMV关系,10.0,t10,0.7962498860200062,0.7962498860200062
基准,Kuwabara经验,2.0,t15,1.2145830411830705,1.2145830411830705
基准,Kuwabara经验,2.0,t10,1.0492710149346385,1.0492710149346385
基准,Kuwabara经验,5.0,t15,1.0719083950085029,1.0719083950085029
基准,Kuwabara经验,5.0,t10,0.8927166252987728,0.8927166252987728
基准,Kuwabara经验,10.0,t15,0.9473369806015874,0.9473369806015874
基准,Kuwabara经验,10.0,t10,0.7978121673201333,0.7978121673201333
时间步减半,ISO 11079简化,5.0,t15,-0.0029575584066798832,0.0029575584066798832
时间步减半,ISO 11079简化,5.0,t10,-0.0036369124194468583,0.0036369124194468583
网格加密,ISO 11079简化,5.0,t15,-7.669271180343884e-05,7.669271180343884e-05
网格加密,ISO 11079简化,5.0,t10,0.00014918898230131816,0.00014918898230131816
