外对流模型,扫描速率（K/min）,t15变化（%）,t10变化（%）
旧PMV关系,2.0,-10.74044559919236,-10.784119868709197
Kuwabara经验,2.0,-14.296598210630517,-14.352330169189354
旧PMV关系,5.0,-10.456899408273701,-10.5707491829937
Kuwabara经验,5.0,-13.921335254592805,-14.068372082122693
旧PMV关系,10.0,-10.20295564386351,-10.399191256217922
Kuwabara经验,10.0,-13.585040812840997,-13.840006916126658
