外对流模型,h_e（W/(m2 K)）,扫描速率（K/min）,t15（s）,t10（s）,阈值间隔（s）
ISO 11079简化,18.46,2.0,192.02800925434013,204.2621942219772,12.234184967637077
旧PMV关系,20.957814771583415,2.0,171.40334538516566,182.2343143506236,10.830968965457942
Kuwabara经验,21.95,2.0,164.57453631937474,174.94580969640822,10.371273377033475
ISO 11079简化,18.46,5.0,103.4915847342144,115.66576634720914,12.174181612994744
旧PMV关系,20.957814771583415,5.0,92.66957382252926,103.43902829605813,10.769454473528867
Kuwabara经验,21.95,5.0,89.08417426307342,99.39347596584511,10.309301702771691
ISO 11079简化,18.46,10.0,74.03513620319117,86.16747506666174,12.132338863470565
旧PMV关系,20.957814771583415,10.0,66.48136409550564,77.20675453382569,10.725390438320048
Kuwabara经验,21.95,10.0,63.97743273414523,74.24189055798404,10.264457823838804
