扫描速率（K/min）,潜热（kJ/kg）,M60_t15（s）,M60_t10（s）,相对M40_t15变化（s）,相对M40_t10变化（s）,相对M40_t15变化（%）,相对M40_t10变化（%）,最大条件数,最大热流残差（W/m2）,最终固化进度
2.0,611.5637399999999,522.5334560399438,559.9208469568177,1.6308682081130428,1.7141202709303798,0.3130850654632485,0.307076247738402,1.0647338652184701,1.0231815394945443e-12,1.0
5.0,244.625496,274.70592360412854,312.0388796948214,0.7975216096230611,0.8807900045178485,0.2911636166746937,0.283068328833906,1.0647338652184701,1.0231815394945443e-12,1.0
10.0,122.312748,192.16158643967066,229.46627501580627,0.5192445017215448,0.6025169659660037,0.2709445608265778,0.2632644727588507,1.0647338652184701,1.0231815394945443e-12,1.0
