扫描速率（K/min）,外层厚度（mm）,检查,时间步（s）,模态数,正式热安全时间（s）,检查热安全时间（s）,相对差异（%）
2.0,1.2,时间步减半,0.125,40,701.1953736093442,701.171469955848,0.0034089861964055625
2.0,1.2,模态数增加,0.25,60,701.1953736093442,703.2569498905068,0.2940088253222244
5.0,1.2,时间步减半,0.125,40,416.0379012473915,416.0251790400267,0.003057944318689243
5.0,1.2,模态数增加,0.25,60,416.0379012473915,417.13740096633626,0.264278738943772
10.0,1.2,时间步减半,0.125,40,321.0596108035716,321.0547928318752,0.001500647086798813
10.0,1.2,模态数增加,0.25,60,321.0596108035716,321.8381070278108,0.2424771593943877
