time_s,time_h,body_temperature_C,inner_surface_C,interface_12_C,interface_23_C,outer_surface_C,layer2_average_C,h_external_W_per_m2K,pcm_specific_power_W_per_kg,body_to_clothing_power_W,pcm_power_W,environment_loss_W
0.0,0.0,37.0,37.0,37.0,37.0,37.0,37.00000000000001,7.0501707976434105,0.0,0.0,0.0,896.8642124585741
3600.0,1.0,35.98983499399739,24.574480332307356,24.22190967628359,22.76957526511621,20.484291143113794,23.699385617603813,6.637241284013947,1662.1103049502638,56.57792230973432,606.6402302978563,663.2336189973398
7200.0,2.0,35.05036687425547,24.52884030285165,24.20387559522466,22.760714760764817,20.475830165970848,23.68738675911074,6.637009155589067,1673.932573947373,52.14784214584874,610.955144877045,663.1176486714637
10800.0,3.0,34.18444442421496,24.486469965652745,24.186941114835093,22.752240861229275,20.467738211316075,23.67601583128139,6.636787128574279,1684.815059578797,48.0660708089719,614.9270555077644,663.0067401444969
14400.0,4.0,33.38629944358674,24.447439207495314,24.171356293403125,22.744454050854717,20.460302264322127,23.66555911520882,6.636583081446249,1694.847530933989,44.30367298813995,618.588726285717,662.9048261458923
18000.0,5.0,32.65063541140832,24.411579179701643,24.157110231393595,22.73739358897219,20.453559967987978,23.656039419764674,6.636398052264161,1704.1001332588228,40.835234401207785,621.9657589582625,662.812421743594
21600.0,6.0,31.972565696614772,24.378543880310332,24.143997281024923,22.73090338857688,20.447362233647798,23.647282768502006,6.636227953871709,1712.6291909576469,37.638250328149695,625.0787109153188,662.7274829355098
25200.0,7.0,31.34758253053498,24.348108267160956,24.13192469088576,22.72493482091346,20.441662620263035,23.639225387462705,6.6360715149893466,1720.4911664891083,34.691494291560666,627.9481899341283,662.6493727051535
28800.0,8.0,30.7715307064606,24.320066066962696,24.12080815424875,22.719444228741544,20.436419439168116,23.63180967452771,6.635927594160863,1727.7381353138112,31.975394192743455,630.5932026169122,662.5775192675242
32400.0,9.0,30.240579399276392,24.294203411199433,24.110545467754154,22.71436727340353,20.4315712699899,23.624958086577053,6.635794507738042,1734.416818586722,29.47202330970583,633.0308013410752,662.5110805265028
36000.0,10.0,29.751195228834103,24.270340288695618,24.101060280563495,22.70966226368806,20.42707826913323,23.618617015993383,6.635671163842332,1740.5714632075621,27.164761339808372,635.2771354255628,662.4495101601061
39600.0,11.0,29.30012350391515,24.24835660678694,24.09232930603592,22.705337055325682,20.422947941087926,23.61278399668846,6.635557770136925,1746.2449106730542,25.038072272236548,637.3478412426186,662.3929107329377
43200.0,12.0,28.884366858136133,24.22812914854102,24.084318082962415,22.701386077666125,20.419174971550348,23.60744376859643,6.635454182243405,1751.4759702511913,23.077710960066263,639.2570834738542,662.3412091681358
46800.0,13.0,28.501163930291682,24.20953402006364,24.076984167164824,22.697793676922295,20.415744416202926,23.602571601181022,6.6353599912124315,1756.2998836510965,21.270605324063247,641.0177247063523,662.2942004566825
50400.0,14.0,28.147970048337847,24.192449520464958,24.070280686153833,22.694537795458512,20.41263521428084,23.59813696339565,6.635274619955333,1760.7487571478846,19.604746392296395,642.6414831504336,662.2515958100369
54000.0,15.0,27.822439866663338,24.17676560995613,24.064166651811508,22.691600284001105,20.409830030086507,23.59411392895223,6.635197593470988,1764.852330020925,18.069055318517925,644.1392131057387,662.2131575156343
57600.0,16.0,27.522412140227043,24.162373903290934,24.05859704500996,22.688957277466425,20.407306088069593,23.590471360286603,6.635128287215789,1768.6375493681337,16.653357513726437,645.5207497761268,662.1785733493944
61200.0,17.0,27.245893134835452,24.149148585402894,24.053503744642445,22.68656060916453,20.405017392244144,23.587154010757107,6.635065438832213,1772.1280650846888,15.348395010352583,646.7947249460314,662.1472129424933
64800.0,18.0,26.991043237957864,24.136981079198936,24.04883164685077,22.684373462422844,20.40292878233289,23.584118640690207,6.635008083318851,1775.3460897784653,14.145588277456877,647.9692458159897,662.1185944329306
68400.0,19.0,26.75616562276249,24.125776980101577,24.044535844805356,22.682367701360352,20.401013388590947,23.581331272851887,6.634955483203498,1778.3123934668793,13.03699522962029,649.0518930670856,662.0923495800157
72000.0,20.0,26.5396955510033,24.11545303670007,24.04057884768992,22.680521236482036,20.399250115759102,23.578764486157826,6.634907059492683,1781.0463159925957,12.015273173641102,650.04972539246,662.068189281899
75600.0,21.0,26.340190349334385,24.105935078998698,24.036928755251168,22.67881632382253,20.397622018649447,23.576395658407787,6.6348623470907055,1783.5658155606234,11.073639396364767,650.9692972124719,662.0458813130228
79200.0,22.0,26.15632006467017,24.097156525761832,24.03355800808658,22.677238423985273,20.396115212477063,23.574205779081193,6.634820964894121,1785.887535407732,10.205832247891388,651.8166830078324,662.0252353903018
82800.0,23.0,25.98685878100574,24.089057264382948,24.030442501375997,22.675775412427665,20.394718118655124,23.572178620511394,6.6347825950927,1788.0268788054007,9.406073656837544,652.5975046943249,662.0060928368307
86400.0,24.0,25.830676568468366,24.081582781270587,24.027560937246978,22.67441701850165,20.393420929064124,23.57030014310754,6.63474696846627,1789.9980868782584,8.669033537488353,653.3169600251305,661.9883192397768
90000.0,25.0,25.68673202987475,24.07468346739809,24.02489433920126,22.673154418258708,20.392215217172936,23.568558058451202,6.6347138537118715,1791.814316073343,7.989796290203081,653.9798508657072,661.9717991208593
93600.0,26.0,25.55406540795152,24.068314050623673,24.022425679872885,22.67197993343513,20.391093650565868,23.566941501886596,6.63468304955399,1793.4877134619878,7.363829452324003,654.5906106776187,661.9564319965846
97200.0,27.0,25.431792216156957,24.06243312260219,24.020139590103078,22.67088680547652,20.39004977513429,23.565440782900044,6.634654378821659,1795.0294888513674,6.786954475385491,655.1533308379445,661.9421294206303
100800.0,28.0,25.31909736818804,24.057003418138773,24.01802283033753,22.66986971517931,20.389078510531395,23.564047893536035,6.634627702060173,1796.4500214809636,6.255316244629177,655.6717995815635,661.9288217716606
104400.0,29.0,25.215229890813454,24.051992501724193,24.016065156966466,22.668925683976862,20.388177012527876,23.562757405259287,6.634602941220722,1797.758963329686,5.765353471543103,656.1495397063858,661.9164700680806
108000.0,30.0,25.119497863776747,24.047368958195815,24.014255553724286,22.66805041489127,20.38734117815536,23.56156274152365,6.634579983672392,1798.965129505513,5.313792494730774,656.5897685675523,661.9050180834457
111600.0,31.0,25.031263700204622,24.043103471095375,24.01258349061863,22.667239575898392,20.38656687067465,23.560457464474485,6.634558715847404,1800.0766262203347,4.897618543534164,656.9954447859395,661.8944091301544
115200.0,32.0,24.94993985867345,24.039168817951435,24.0110390507037,22.666488965009876,20.385850077502976,23.559435428584866,6.634539027579799,1801.100913167948,4.514054509130521,657.3692910150017,661.8845882230914
118800.0,33.0,24.874984899687377,24.035539744479124,24.00961292217982,22.665794539774684,20.385186938389833,23.558490797936475,6.63452081288033,1802.0448564102703,4.160542022758664,657.713813243283,661.8755024655059
122400.0,34.0,24.805899855836568,24.03219284202113,24.008296384148032,22.665152437574303,20.384573764800685,23.557618055168284,6.634503970469813,1802.9147767210613,3.834724072573462,658.0313184390016,661.867101314436
126000.0,35.0,24.742224890168412,24.029106428914226,24.007081287511816,22.664558988420033,20.384007052140227,23.556812003744003,6.634488404115719,1803.7164938033422,3.5344290295141247,658.3239306886098,661.8593367480402
129600.0,36.0,24.683536219447745,24.02626043635129,24.005960032333366,22.6640107217589,20.383483486253866,23.556067764991887,6.6344740228115215,1804.4553667585146,3.2576559637609623,658.5936059672912,661.852163354545
133200.0,37.0,24.629443280939054,24.023636299177454,24.00492554275645,22.66350436858422,20.382999945444915,23.55538077116269,6.634460740832807,1805.136331149329,3.002561143705015,658.8421456662737,661.845538359769
136800.0,38.0,24.579586123129054,24.02121685192766,24.00397124041724,22.66303685994206,20.38255349904993,23.554746755549996,6.634448477698749,1805.7639329655672,2.767445618855463,659.0712089896911,661.8394216074997
