time_s,time_h,layer,x_m,temperature_C
0.0,0.0,1,0.0,37.0
0.0,0.0,1,2.9166666666666666e-05,37.0
0.0,0.0,1,5.833333333333333e-05,37.0
0.0,0.0,1,8.75e-05,37.0
0.0,0.0,1,0.00011666666666666667,37.0
0.0,0.0,1,0.00014583333333333332,37.0
0.0,0.0,1,0.000175,37.0
0.0,0.0,1,0.00020416666666666668,37.0
0.0,0.0,1,0.00023333333333333333,37.0
0.0,0.0,1,0.0002625,37.0
0.0,0.0,1,0.00029166666666666664,37.0
0.0,0.0,1,0.00032083333333333334,37.0
0.0,0.0,1,0.00035,37.0
0.0,0.0,1,0.00037916666666666665,37.0
0.0,0.0,1,0.00040833333333333336,37.0
0.0,0.0,1,0.0004375,37.0
0.0,0.0,1,0.00046666666666666666,37.0
0.0,0.0,1,0.0004958333333333334,37.0
0.0,0.0,1,0.000525,37.0
0.0,0.0,1,0.0005541666666666667,37.0
0.0,0.0,1,0.0005833333333333333,37.0
0.0,0.0,1,0.0006125,37.0
0.0,0.0,1,0.0006416666666666667,37.0
0.0,0.0,1,0.0006708333333333333,37.0
0.0,0.0,1,0.0007,37.0
0.0,0.0,2,0.0007166666666666667,37.0
0.0,0.0,2,0.0007333333333333333,37.0
0.0,0.0,2,0.00075,37.0
0.0,0.0,2,0.0007666666666666667,37.0
0.0,0.0,2,0.0007833333333333334,37.0
0.0,0.0,2,0.0008,37.0
0.0,0.0,2,0.0008166666666666667,37.0
0.0,0.0,2,0.0008333333333333333,37.0
0.0,0.0,2,0.0008500000000000001,37.0
0.0,0.0,2,0.0008666666666666666,37.0
0.0,0.0,2,0.0008833333333333333,37.0
0.0,0.0,2,0.0009,37.0
0.0,0.0,2,0.0009166666666666666,37.0
0.0,0.0,2,0.0009333333333333333,37.0
0.0,0.0,2,0.00095,37.0
0.0,0.0,2,0.0009666666666666667,37.0
0.0,0.0,2,0.0009833333333333335,37.0
0.0,0.0,2,0.001,37.0
0.0,0.0,2,0.0010166666666666666,37.0
0.0,0.0,2,0.0010333333333333334,37.0
0.0,0.0,2,0.00105,37.0
0.0,0.0,2,0.0010666666666666667,37.0
0.0,0.0,2,0.0010833333333333333,37.0
0.0,0.0,2,0.0011,37.0
0.0,0.0,3,0.0011125,37.0
0.0,0.0,3,0.0011250000000000001,37.0
0.0,0.0,3,0.0011375,37.0
0.0,0.0,3,0.00115,37.0
0.0,0.0,3,0.0011625000000000001,37.0
0.0,0.0,3,0.001175,37.0
0.0,0.0,3,0.0011875,37.0
0.0,0.0,3,0.0012000000000000001,37.0
0.0,0.0,3,0.0012125,37.0
0.0,0.0,3,0.001225,37.0
0.0,0.0,3,0.0012375,37.0
0.0,0.0,3,0.00125,37.0
0.0,0.0,3,0.0012625000000000002,37.0
0.0,0.0,3,0.001275,37.0
0.0,0.0,3,0.0012875,37.0
0.0,0.0,3,0.0013,37.0
0.0,0.0,3,0.0013125,37.0
0.0,0.0,3,0.001325,37.0
0.0,0.0,3,0.0013375000000000001,37.0
0.0,0.0,3,0.00135,37.0
0.0,0.0,3,0.0013625,37.0
0.0,0.0,3,0.001375,37.0
0.0,0.0,3,0.0013875,37.0
0.0,0.0,3,0.0014,37.0
36000.0,10.0,1,0.0,24.270340288695618
36000.0,10.0,1,2.9166666666666666e-05,24.263287678238033
36000.0,10.0,1,5.833333333333333e-05,24.25623499025165
36000.0,10.0,1,8.75e-05,24.249182226732817
36000.0,10.0,1,0.00011666666666666667,24.2421293896779
36000.0,10.0,1,0.00014583333333333332,24.235076481083265
36000.0,10.0,1,0.000175,24.22802350294532
36000.0,10.0,1,0.00020416666666666668,24.220970457260496
36000.0,10.0,1,0.00023333333333333333,24.213917346025234
36000.0,10.0,1,0.0002625,24.20686417123599
36000.0,10.0,1,0.00029166666666666664,24.199810934889243
36000.0,10.0,1,0.00032083333333333334,24.192757638981483
36000.0,10.0,1,0.00035,24.18570428550924
36000.0,10.0,1,0.00037916666666666665,24.178650876469028
36000.0,10.0,1,0.00040833333333333336,24.1715974138574
36000.0,10.0,1,0.0004375,24.16454389967092
36000.0,10.0,1,0.00046666666666666666,24.15749033590615
36000.0,10.0,1,0.0004958333333333334,24.150436724559707
36000.0,10.0,1,0.000525,24.143383067628168
36000.0,10.0,1,0.0005541666666666667,24.13632936710816
36000.0,10.0,1,0.0005833333333333333,24.129275624996307
36000.0,10.0,1,0.0006125,24.12222184328926
36000.0,10.0,1,0.0006416666666666667,24.115168023983664
36000.0,10.0,1,0.0006708333333333333,24.10811416907618
36000.0,10.0,1,0.0007,24.101060280563495
36000.0,10.0,2,0.0007166666666666667,24.09426675774246
36000.0,10.0,2,0.0007333333333333333,24.083022675492796
36000.0,10.0,2,0.00075,24.067328034410693
36000.0,10.0,2,0.0007666666666666667,24.047182835066607
36000.0,10.0,2,0.0007833333333333334,24.02258707800524
36000.0,10.0,2,0.0008,23.993540763745568
36000.0,10.0,2,0.0008166666666666667,23.96004389278081
36000.0,10.0,2,0.0008333333333333333,23.92209646557842
36000.0,10.0,2,0.0008500000000000001,23.879698482580135
36000.0,10.0,2,0.0008666666666666666,23.832849944201925
36000.0,10.0,2,0.0008833333333333333,23.781550850834048
36000.0,10.0,2,0.0009,23.725801202840955
36000.0,10.0,2,0.0009166666666666666,23.665601000561413
36000.0,10.0,2,0.0009333333333333333,23.6009502443084
36000.0,10.0,2,0.00095,23.531848934369187
36000.0,10.0,2,0.0009666666666666667,23.458297071005248
36000.0,10.0,2,0.0009833333333333335,23.380294654452356
36000.0,10.0,2,0.001,23.297841684920524
36000.0,10.0,2,0.0010166666666666666,23.210938162593997
36000.0,10.0,2,0.0010333333333333334,23.11958408763131
36000.0,10.0,2,0.00105,23.023779460165215
36000.0,10.0,2,0.0010666666666666667,22.923524280302757
36000.0,10.0,2,0.0010833333333333333,22.818818548125197
36000.0,10.0,2,0.0011,22.70966226368806
36000.0,10.0,3,0.0011125,22.614554666241435
36000.0,10.0,3,0.0011250000000000001,22.519447062711524
36000.0,10.0,3,0.0011375,22.424339453109756
36000.0,10.0,3,0.00115,22.329231837447566
36000.0,10.0,3,0.0011625000000000001,22.234124215736397
36000.0,10.0,3,0.001175,22.139016587987683
36000.0,10.0,3,0.0011875,22.04390895421286
36000.0,10.0,3,0.0012000000000000001,21.948801314423367
36000.0,10.0,3,0.0012125,21.853693668630644
36000.0,10.0,3,0.001225,21.758586016846134
36000.0,10.0,3,0.0012375,21.663478359081285
36000.0,10.0,3,0.00125,21.568370695347514
36000.0,10.0,3,0.0012625000000000002,21.473263025656284
36000.0,10.0,3,0.001275,21.378155350019043
36000.0,10.0,3,0.0012875,21.28304766844721
36000.0,10.0,3,0.0013,21.18793998095224
36000.0,10.0,3,0.0013125,21.09283228754559
36000.0,10.0,3,0.001325,20.997724588238693
36000.0,10.0,3,0.0013375000000000001,20.902616883043
36000.0,10.0,3,0.00135,20.80750917196995
36000.0,10.0,3,0.0013625,20.712401455031006
36000.0,10.0,3,0.001375,20.617293732237602
36000.0,10.0,3,0.0013875,20.522186003601195
36000.0,10.0,3,0.0014,20.42707826913323
72000.0,20.0,1,0.0,24.11545303670007
72000.0,20.0,1,2.9166666666666666e-05,24.11233358979047
72000.0,20.0,1,5.833333333333333e-05,24.109214109357453
72000.0,20.0,1,8.75e-05,24.106094596285
72000.0,20.0,1,0.00011666666666666667,24.10297505145713
72000.0,20.0,1,0.00014583333333333332,24.099855475757835
72000.0,20.0,1,0.000175,24.09673587007114
72000.0,20.0,1,0.00020416666666666668,24.09361623528107
72000.0,20.0,1,0.00023333333333333333,24.09049657227166
72000.0,20.0,1,0.0002625,24.087376881926946
72000.0,20.0,1,0.00029166666666666664,24.08425716513098
72000.0,20.0,1,0.00032083333333333334,24.08113742276782
72000.0,20.0,1,0.00035,24.078017655721528
72000.0,20.0,1,0.00037916666666666665,24.074897864876185
72000.0,20.0,1,0.00040833333333333336,24.07177805111585
72000.0,20.0,1,0.0004375,24.06865821532462
72000.0,20.0,1,0.00046666666666666666,24.065538358386583
72000.0,20.0,1,0.0004958333333333334,24.062418481185833
72000.0,20.0,1,0.000525,24.05929858460648
72000.0,20.0,1,0.0005541666666666667,24.056178669532624
72000.0,20.0,1,0.0005833333333333333,24.053058736848374
72000.0,20.0,1,0.0006125,24.04993878743785
72000.0,20.0,1,0.0006416666666666667,24.046818822185184
72000.0,20.0,1,0.0006708333333333333,24.043698841974493
72000.0,20.0,1,0.0007,24.04057884768992
72000.0,20.0,2,0.0007166666666666667,24.036281254212675
72000.0,20.0,2,0.0007333333333333333,24.027429618052597
72000.0,20.0,2,0.00075,24.01402393947362
72000.0,20.0,2,0.0007666666666666667,23.996064218728264
72000.0,20.0,2,0.0007833333333333334,23.97355045605758
72000.0,20.0,2,0.0008,23.94648265169123
72000.0,20.0,2,0.0008166666666666667,23.91486080584741
72000.0,20.0,2,0.0008333333333333333,23.878684918732887
72000.0,20.0,2,0.0008500000000000001,23.837954990542986
72000.0,20.0,2,0.0008666666666666666,23.792671021461615
72000.0,20.0,2,0.0008833333333333333,23.742833011661226
72000.0,20.0,2,0.0009,23.68844096130285
72000.0,20.0,2,0.0009166666666666666,23.629494870536064
72000.0,20.0,2,0.0009333333333333333,23.56599473949904
72000.0,20.0,2,0.00095,23.497940568318477
72000.0,20.0,2,0.0009666666666666667,23.425332357109664
72000.0,20.0,2,0.0009833333333333335,23.348170105976443
72000.0,20.0,2,0.001,23.26645381501123
72000.0,20.0,2,0.0010166666666666666,23.180183484294993
72000.0,20.0,2,0.0010333333333333334,23.089359113897274
72000.0,20.0,2,0.00105,22.99398070387616
72000.0,20.0,2,0.0010666666666666667,22.89404825427835
72000.0,20.0,2,0.0010833333333333333,22.78956176513904
72000.0,20.0,2,0.0011,22.680521236482036
72000.0,20.0,3,0.0011125,22.585468300210735
72000.0,20.0,3,0.0011250000000000001,22.49041536155066
72000.0,20.0,3,0.0011375,22.395362420506295
72000.0,20.0,3,0.00115,22.30030947708213
72000.0,20.0,3,0.0011625000000000001,22.205256531282657
72000.0,20.0,3,0.001175,22.110203583112376
72000.0,20.0,3,0.0011875,22.01515063257577
72000.0,20.0,3,0.0012000000000000001,21.920097679677323
72000.0,20.0,3,0.0012125,21.82504472442155
72000.0,20.0,3,0.001225,21.729991766812915
72000.0,20.0,3,0.0012375,21.634938806855928
72000.0,20.0,3,0.00125,21.539885844555084
72000.0,20.0,3,0.0012625000000000002,21.444832879914852
72000.0,20.0,3,0.001275,21.349779912939756
72000.0,20.0,3,0.0012875,21.254726943634275
72000.0,20.0,3,0.0013,21.159673972002896
72000.0,20.0,3,0.0013125,21.064620998050124
72000.0,20.0,3,0.001325,20.969568021780447
72000.0,20.0,3,0.0013375000000000001,20.87451504319836
72000.0,20.0,3,0.00135,20.779462062308358
72000.0,20.0,3,0.0013625,20.684409079114932
72000.0,20.0,3,0.001375,20.589356093622587
72000.0,20.0,3,0.0013875,20.49430310583581
72000.0,20.0,3,0.0014,20.399250115759102
108000.0,30.0,1,0.0,24.047368958195815
108000.0,30.0,1,2.9166666666666666e-05,24.045989372851906
108000.0,30.0,1,5.833333333333333e-05,24.04460977248258
108000.0,30.0,1,8.75e-05,24.04323015747853
108000.0,30.0,1,0.00011666666666666667,24.04185052823044
108000.0,30.0,1,0.00014583333333333332,24.04047088512903
