扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,6.25,36.57675341671515,35.86245855156703,35.199935733220926,34.35008157385447,32.04090894865325,0.0
2.0,611.5637399999999,6.5,36.531617337265175,35.79498594533963,35.12084680191123,34.26057945034642,31.946120625185877,0.0
2.0,611.5637399999999,6.75,36.484845783447206,35.727212093831774,35.04225414293728,34.17232885254368,31.853135653549646,0.0
2.0,611.5637399999999,7.0,36.43654310332413,35.65917163273063,34.96413939604283,34.08525719193524,31.761836884709094,0.0
2.0,611.5637399999999,7.25,36.386808816559,35.5908952471173,34.88648400436064,33.999296395438705,31.672116505150004,0.0
2.0,611.5637399999999,7.5,36.33573750091385,35.52241030607455,34.809269532854614,33.91438264877886,31.583875031863172,0.0
2.0,611.5637399999999,7.75,36.28341878029752,35.45374137191048,34.732477897697024,33.83045614824693,31.49702046280331,0.0
2.0,611.5637399999999,8.0,36.22993738702289,35.384910610787294,34.656091527741495,33.74746086232989,31.41146755228354,0.0
2.0,611.5637399999999,8.25,36.17537327723471,35.3159381257068,34.580093474395504,33.66534430406152,31.327137187430978,0.0
2.0,611.5637399999999,8.5,36.1198017833942,35.246842228233035,34.504467482453705,33.584057314508655,31.24395584696544,0.0
2.0,611.5637399999999,8.75,36.0632937915444,35.17763966175821,34.42919803156561,33.50355385750386,31.161855127538118,0.0
2.0,611.5637399999999,9.0,36.00591593405871,35.10834578632761,34.35427035578002,33.42379082552696,31.08077132595122,0.0
2.0,611.5637399999999,9.25,35.94773079088287,35.03897473286187,34.27967044688479,33.34472785649433,31.000645067979818,0.0
2.0,611.5637399999999,9.5,35.88879709406211,34.969539532916805,34.20538504592754,33.266327161118596,30.921420976389776,0.0
2.0,611.5637399999999,9.75,35.82916993171819,34.90005222879736,34.13140162627227,33.18855336043802,30.8430473722096,0.0
2.0,611.5637399999999,10.0,35.768900948694736,34.830523967809334,34.05770837075092,33.11137333307653,30.765476004462123,0.0
2.0,611.5637399999999,10.25,35.70803854189663,34.76096508362787,33.98429414485382,33.03475607177398,30.688661804463923,0.0
