扫描速率（K/min）,t₁₅（s）,t₁₀（s）,衣料初温（℃）,t₁₅（s）,t₁₀（s）
2,520.9025878318307,558.2067266858874,27,236.6444510634047,273.89413458207315
5,273.9084019945055,311.15808969030354,30,248.80728082111224,286.0569724378365
10,191.6423419379491,228.86375804984027,33,260.0746747706554,297.3243665639147
,,,37,273.9084019945055,311.15808969030354
