,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,311.25
0,37,35.768900948694736,33.159572219951556,30.586356260681963,28.16648869939731,26.142168912625866,24.988839469519316,24.274246975512128,23.747227536422315,23.312408105557687,22.92954817913782,22.578729217235544,22.248675712431982,21.932091846498352,21.623430614125734,21.31776508929018,21.009987196056024,20.694325904726355,20.36431449959366,20.013535448501983,19.63818354975573,19.23978118680205,18.82396863808747,18.39265208591387,17.934166199352127,17.410770182070824,16.71806629024429,15.574413167675132,14.108357902828573,12.704048224723174,11.382178677524973,10.139090567027104,9.988997706501163
0.02333333333333333,37,35.76666561286438,33.154564219190945,30.578755767344138,28.156459245580674,26.13038018215256,24.976127068128598,24.26090836438072,23.73339657404253,23.29815635341886,22.91491824899191,22.563748335091045,22.23336174577632,21.91645618085101,21.607479381398267,21.30149941192891,20.993402740442956,20.677412109664406,20.347053894826306,19.99590443227678,19.62015619746211,19.22133556340903,18.805088970931703,18.373321105887868,17.91434727517249,17.39037277217306,16.696847440761164,15.551779921858657,14.084215725775712,12.678493112912621,11.355295254102371,10.110957987435897,9.960714293197917
0.04666666666666666,37,35.76248805772256,33.147441190432176,30.56915342280024,28.144552440266143,26.117365782198284,24.96271713991156,24.24709143390969,23.719187833325726,23.283580576551426,22.899996251551894,22.548495802905414,22.217789512985025,21.900570659993974,21.59128264608313,21.284988650786033,20.976569288829676,20.660240500278796,20.329521246073064,19.97798268597235,19.60181817224761,19.202562925398702,18.785870255080134,18.353636405037626,17.894142561979486,17.369509874626907,16.674945508503683,15.527988270006501,14.058915895050145,12.651845892467414,11.32738477181312,10.08185950129528,9.931472340581275
0.06999999999999999,37,35.75636534412553,33.13820102014668,30.55754729106876,28.130766471476583,26.103125364190376,24.948609352416057,24.232795854990265,23.704601005070067,23.268680485586867,22.88478191258974,22.532971356990096,22.201958757507796,21.884435030929104,21.574840155033176,21.268232548317936,20.9594865739862,20.642810793797793,20.3117162493178,19.959769882357314,19.583169127307055,19.18346291526015,18.76631212312192,18.333597590120114,17.873551599095236,17.34818085552175,16.652359353618163,15.503036737039265,14.032457275392623,12.624105504631977,11.2984462354969,10.05179417244285,9.90127091959213
0.09333333333333332,37,35.748298557973534,33.12684612490794,30.54393973266327,28.115103557073795,26.087661278047158,24.933804900305848,24.21802233691831,23.689636595644608,23.253456488767128,22.86927558557835,22.517175316899284,22.185869776867996,21.868049576371245,21.558152181207902,21.25123137190334,20.94215486167762,20.62512325889511,20.293639182106354,19.94126631550919,19.564209379643057,19.16403587474705,18.74641493304759,18.313205024627017,17.852574750091254,17.32638607294112,16.629089286021713,15.476926262623042,14.004841214347053,12.595273234561557,11.268480854389312,10.02076313784749,9.870111158488001
0.11666666666666667,37,35.73827901920441,33.11337013943803,30.528324905833692,28.097558228772588,26.070972373468145,24.918302737522215,24.20276986980907,23.674293665198455,23.237907709862395,22.853476441875845,22.501106886756954,22.169521797382053,21.851413533825355,21.541217962077244,21.23398434619766,20.92457334785362,20.60717704534558,20.2752891307914,19.92247100226679,19.544937887375063,19.144280729109163,18.726177579845068,18.29245752609861,17.83121063148468,17.30412362703634,16.60513189779059,15.449652485427288,13.97606428877232,12.56534588761705,11.237485625618692,9.988763572683014,9.837990253880154
0.13999999999999999,37,35.72630191084951,33.09777106535932,30.51070111162177,28.078128904015973,26.05306012170747,24.90210329816583,24.187038448033423,23.658572061558726,23.222033945832298,22.837384258257124,22.48476583300842,22.152914579422898,21.834526657034694,21.524037241974472,21.216491201454446,20.90674174168909,20.588971833763754,20.25666574141078,19.903383557349517,19.525354247507323,19.12419707679307,18.705599656922775,18.27135464034476,17.80945865210995,17.281392569253136,16.580485165147532,15.421213369614428,13.946125469209294,12.534322529138391,11.205459671779431,9.955794651017685,9.804907386025015
0.16333333333333333,37,35.71236672034502,33.08005169160223,30.491071188205762,28.05681825559593,26.033928810352762,24.885208614799662,24.17082915699975,23.642472491515115,23.205835729319144,22.820999473990874,22.468152537990214,22.13604846867728,21.817389265837715,21.5066103213397,21.198752222956116,20.88866031611588,20.570507888264416,20.23776927557206,19.884004253208975,19.505458759722096,19.103785256170355,18.68468152511359,18.249896713997064,17.78731909403107,17.258193004356855,16.555148610036017,15.39160945268677,13.915026348798511,12.50220469972466,11.172404443359984,9.921857736203785,9.770863907763635
0.18666666666666665,37,35.69646283982149,33.06020569097102,30.469429456525553,28.03362097482983,26.01357906822111,24.867618382624833,24.1541412927913,23.62599415841433,23.189312258418067,22.80432130055224,22.451266225729437,22.11892269860434,21.800000594957318,21.48893642569434,21.18076661366927,20.870328233747067,20.551784311852504,20.21859875887707,19.86433203707021,19.485250313775055,19.083044135714548,18.66342202697639,18.228082489415414,17.764790426831105,17.234522695776942,16.529117902019173,15.360835789640925,13.882763567394992,12.468989288182822,11.138317016992103,9.886950077666528,9.735857089317433
0.21,37,35.67858361606251,33.03823117110102,30.445774442695537,28.00853569714058,25.99201417348025,24.849333793641403,24.136975168668997,23.60913706427791,23.17246341414387,22.787349563776743,22.434106690964313,22.10153704475607,21.782360403167463,21.47101529512767,21.16253408988098,20.85174517829022,20.532800746574292,20.19915378530125,19.844366463350823,19.464728448328483,19.0619732675743,18.64182071427284,18.205911448376483,17.741871924495044,17.21038037265405,16.502390115388692,15.328889815412525,13.849336194978386,12.43467547731177,11.103196626737388,9.851070953786838,9.699886214385208
0.23333333333333334,37,35.65872715402669,33.01413144048997,30.42010959658613,27.981565675588705,25.969240408481724,24.830357752248702,24.119332273210073,23.591902139698583,23.155289874307492,22.77008480786829,22.416674396763387,22.083891918183564,21.76446906414851,21.452847274035886,21.144054971279942,20.832911446637574,20.513557469488887,20.179434619041338,19.824107802739906,19.44389346720979,19.040573009178626,18.61987797372093,18.18338394430235,17.718563812899006,17.185765915858287,16.474964023844944,15.295771795801688,13.814746148784781,12.399265136191621,11.067045032957843,9.814222018835132,9.662952924434544
