temperature_C,dsc_raw_mW_per_mg,exothermic_power_raw_W_per_kg,endpoint_linear_baseline_W_per_kg,exothermic_power_corrected_W_per_kg,solidification_progress_raw,solidification_progress_corrected,normalized_capacity_weight_per_C
14.05,-0.40386,403.86,403.86,0.0,1.0,1.0,0.0
14.084,-0.40899,408.99,403.8502272727273,5.139772727272714,0.9994516111517487,0.9999957138006729,0.00025212937218642396
14.118,-0.41436,414.36,403.8404545454546,10.519545454545437,0.9988961384837192,0.999982655060021,0.0005160318426274964
14.152,-0.41999,419.98999999999995,403.83068181818186,16.159318181818094,0.9983332446711604,0.999960406814148,0.0007926885028444342
14.187,-0.42588,425.88,403.82062165775403,22.059378342245964,0.9977457946088355,0.9999275977799251,0.0010821134527488157
14.221,-0.43206,432.06,403.8108489304813,28.24915106951869,0.9971669858145085,0.9998856440990218,0.0013857501297993252
14.254,-0.43853,438.53,403.80136363636365,34.728636363636326,0.9965969175013413,0.9998346698460693,0.0017035985339959657
14.288,-0.4453,445.29999999999995,403.7915909090909,41.508409090909026,0.9960006420313899,0.9997710936550057,0.0020361774109224837
14.322,-0.45239,452.39,403.7818181818182,48.60818181818178,0.9953950159193314,0.9996959429252329,0.0023844537521885345
14.356,-0.45981,459.81,403.7720454545455,56.03795454545451,0.9947796006429892,0.9996086756036853,0.002748918103554726
14.39,-0.46758,467.58,403.7622727272727,63.81772727272727,0.994153937440701,0.9995087246194636,0.00313055155654228
14.425,-0.4757,475.7,403.75221256684495,71.94778743315504,0.9934988368994954,0.9993921760235305,0.0035293682110627608
14.46,-0.48418,484.18,403.7421524064171,80.43784759358289,0.9928322077888467,0.9992613598008601,0.003945844512965218
14.493,-0.49305,493.05,403.73266711229945,89.31733288770056,0.9921923108710364,0.9991239598720509,0.00438142389970834
14.527,-0.50231,502.31000000000006,403.72289438502673,98.58710561497332,0.9915207917420515,0.9989672611383484,0.004836148671026833
14.562,-0.51198,511.98,403.71283422459896,108.26716577540105,0.9908163753143316,0.9987896860380326,0.005310999918441914
14.595,-0.52208,522.08,403.7033489304813,118.37665106951874,0.9901392657220853,0.9986062404182218,0.005806916433740108
14.631,-0.5326,532.5999999999999,403.6930013368984,128.9069986631015,0.9893858711294553,0.9983878933153414,0.0063234781707186315
14.665,-0.54358,543.5799999999999,403.6832286096257,139.89677139037423,0.9886598268276638,0.9981637303806206,0.006862576812862102
14.698,-0.55501,555.01,403.67374331550803,151.33625668449196,0.9879404625480805,0.997928006220622,0.007423735914321472
14.733,-0.56692,566.92,403.6636831550802,163.25631684491975,0.9871612909869376,0.9976579426274095,0.00800846941211327
14.767,-0.57931,579.31,403.6539104278075,175.65608957219246,0.9863879874874837,0.997375314152293,0.008616735006502795
14.801,-0.5922,592.1999999999999,403.64413770053477,188.55586229946516,0.9855976288486019,0.9970715876830707,0.009249527888922839
14.835,-0.6056,605.6,403.63436497326205,201.96563502673797,0.9847895336742949,0.9967459209526718,0.009907338605134012
14.87,-0.61951,619.51,403.6243048128342,215.88569518716577,0.9839387044146514,0.9963872143551186,0.010590181255047878
14.904,-0.63395,633.95,403.6145320855615,230.33546791443854,0.9830930582490252,0.9960150981253667,0.011299008730362523
14.939,-0.64893,648.9300000000001,403.6044719251337,245.32552807486638,0.9822021081787363,0.9956067645264937,0.012034339776661697
14.973,-0.66446,664.46,403.59469919786096,260.8653008021391,0.9813160302684149,0.9951846379257124,0.012796636739882867
15.005,-0.68054,680.5400000000001,403.5855013368984,276.9544986631017,0.9804620033685549,0.9947625175695525,0.013585885520114471
